Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.1,0,L,2.9355,TRUE
1,2,linear,0.2,0,L,2.8249,TRUE
1,3,radial,0.2,0,L,5.388,TRUE
1,4,linear,0.05,0,R,2.5856,FALSE
1,5,linear,0,0.2,L,1.4848,FALSE
1,6,radial,0,0.05,L,5.0712,FALSE
1,7,radial,0,0.2,R,1.5184,TRUE
1,8,linear,0,0.15,R,2.819,TRUE
1,9,radial,0,0.15,R,1.3844,TRUE
1,10,linear,0,0.1,R,2.6857,TRUE
1,11,radial,0.05,0,R,5.5052,FALSE
1,12,linear,0,0.05,R,5.0879,TRUE
1,13,radial,0.15,0,L,2.121,TRUE
1,14,linear,0.15,0,L,4.6888,TRUE
1,15,radial,0,0.1,R,4.254,TRUE
1,16,radial,0.1,0,R,5.6045,FALSE
2,1,radial,0.2,0,L,2.5857,TRUE
2,2,linear,0.1,0,L,2.5021,TRUE
2,3,linear,0.2,0,L,3.3863,TRUE
2,4,linear,0.05,0,R,6.1885,FALSE
2,5,linear,0,0.2,R,2.4351,TRUE
2,6,radial,0,0.05,L,2.3023,FALSE
2,7,radial,0,0.2,R,2.7535,TRUE
2,8,linear,0,0.15,R,2.5858,TRUE
2,9,linear,0,0.1,R,3.9384,TRUE
2,10,radial,0,0.15,R,1.5182,TRUE
2,11,radial,0.05,0,L,3.3698,TRUE
2,12,radial,0.15,0,L,3.0426,TRUE
2,13,linear,0,0.05,R,2.3688,TRUE
2,14,radial,0,0.1,R,4.8375,TRUE
2,15,radial,0.1,0,R,5.6241,FALSE
2,16,linear,0.15,0,L,2.5519,TRUE
3,1,radial,0.2,0,L,3.0202,TRUE
3,2,radial,0,0.05,R,3.3028,TRUE
3,3,radial,0,0.2,R,2.7523,TRUE
3,4,radial,0,0.15,R,2.6859,TRUE
3,5,linear,0.1,0,L,1.9022,TRUE
3,6,linear,0.2,0,L,1.8016,TRUE
3,7,linear,0.05,0,L,1.2744,TRUE
3,8,linear,0,0.2,R,1.3256,TRUE
3,9,linear,0,0.15,R,1.3179,TRUE
3,10,radial,0.05,0,R,1.1878,FALSE
3,11,radial,0.15,0,L,2.3353,TRUE
3,12,radial,0,0.1,R,2.5858,TRUE
3,13,radial,0.1,0,L,3.2601,TRUE
3,14,linear,0,0.1,R,1.4849,TRUE
3,15,linear,0,0.05,R,4.059,TRUE
3,16,linear,0.15,0,L,1.3677,TRUE
4,1,linear,0.1,0,L,1.4849,TRUE
4,2,radial,0.2,0,L,1.1011,TRUE
4,3,radial,0,0.05,R,2.3366,TRUE
4,4,linear,0.2,0,L,1.0848,TRUE
4,5,linear,0.05,0,L,3.2715,TRUE
4,6,radial,0,0.2,R,0.86804,TRUE
4,7,radial,0,0.15,R,0.93597,TRUE
4,8,linear,0,0.2,R,1.8516,TRUE
4,9,linear,0,0.15,L,1.368,FALSE
4,10,linear,0,0.1,L,2.9392,FALSE
4,11,radial,0.05,0,R,5.7717,FALSE
4,12,linear,0,0.05,R,4.5373,TRUE
4,13,radial,0.15,0,L,2.8529,TRUE
4,14,linear,0.15,0,L,4.0605,TRUE
4,15,radial,0,0.1,R,3.4362,TRUE
4,16,radial,0.1,0,L,2.5293,TRUE
5,1,radial,0.2,0,L,4.7559,TRUE
5,2,linear,0.1,0,L,3.9914,TRUE
5,3,linear,0.2,0,R,0.91799,FALSE
5,4,radial,0,0.05,R,9.4613,TRUE
5,5,radial,0,0.2,R,1.3681,TRUE
5,6,linear,0.05,0,R,4.9053,FALSE
5,7,linear,0,0.2,R,1.2744,TRUE
5,8,radial,0,0.15,R,3.903,TRUE
5,9,radial,0.05,0,R,4.2371,FALSE
5,10,radial,0.15,0,L,1.4847,TRUE
5,11,radial,0,0.1,R,2.8026,TRUE
5,12,radial,0.1,0,R,5.4384,FALSE
5,13,linear,0,0.15,R,3.9201,TRUE
5,14,linear,0,0.1,R,6.0052,TRUE
5,15,linear,0,0.05,R,4.0209,TRUE
5,16,linear,0.15,0,L,1.8015,TRUE
