Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,4,linear,0.05,0,L,1.1344,TRUE
1,12,linear,0,0.05,L,2.1412,FALSE
2,4,linear,0.05,0,R,4.4376,FALSE
2,13,linear,0,0.05,R,3.1377,TRUE
3,7,linear,0.05,0,R,2.7523,FALSE
3,15,linear,0,0.05,R,1.5181,TRUE
4,5,linear,0.05,0,L,1.0846,TRUE
4,12,linear,0,0.05,R,1.9683,TRUE
5,6,linear,0.05,0,L,2.9196,TRUE
5,15,linear,0,0.05,R,3.737,TRUE
1,1,linear,0.1,0,L,3.0539,TRUE
1,10,linear,0,0.1,L,1.939,FALSE
2,2,linear,0.1,0,L,1.3216,TRUE
2,9,linear,0,0.1,L,1.7683,FALSE
3,5,linear,0.1,0,R,2.686,FALSE
3,14,linear,0,0.1,R,2.0564,TRUE
4,1,linear,0.1,0,L,1.2348,TRUE
4,10,linear,0,0.1,R,2.1351,TRUE
5,2,linear,0.1,0,L,2.052,TRUE
5,14,linear,0,0.1,R,1.1176,TRUE
1,8,linear,0,0.15,L,1.0178,FALSE
1,14,linear,0.15,0,L,0.88476,TRUE
2,8,linear,0,0.15,R,1.835,TRUE
2,16,linear,0.15,0,L,1.0873,TRUE
3,9,linear,0,0.15,R,1.0009,TRUE
3,16,linear,0.15,0,L,1.3011,TRUE
4,9,linear,0,0.15,L,1.3343,FALSE
4,14,linear,0.15,0,L,2.155,TRUE
5,13,linear,0,0.15,R,1.4231,TRUE
5,16,linear,0.15,0,L,1.718,TRUE
1,2,linear,0.2,0,L,0.85076,TRUE
1,5,linear,0,0.2,R,1.0344,TRUE
2,3,linear,0.2,0,L,0.86772,TRUE
2,5,linear,0,0.2,R,0.90089,TRUE
3,6,linear,0.2,0,L,1.151,TRUE
3,8,linear,0,0.2,L,1.1344,FALSE
4,4,linear,0.2,0,L,0.86751,TRUE
4,8,linear,0,0.2,R,1.1346,TRUE
5,3,linear,0.2,0,L,1.2381,TRUE
5,7,linear,0,0.2,R,0.95095,TRUE
1,6,radial,0,0.05,L,1.1844,FALSE
1,11,radial,0.05,0,R,2.3854,FALSE
2,6,radial,0,0.05,L,1.4181,FALSE
2,11,radial,0.05,0,R,2.2852,FALSE
3,2,radial,0,0.05,L,1.0511,FALSE
3,10,radial,0.05,0,L,3.2201,TRUE
4,3,radial,0,0.05,R,2.2352,TRUE
4,11,radial,0.05,0,L,1.8351,TRUE
5,4,radial,0,0.05,L,1.5014,FALSE
5,9,radial,0.05,0,R,2.1556,FALSE
1,15,radial,0,0.1,L,2.0746,FALSE
1,16,radial,0.1,0,R,2.1296,FALSE
2,14,radial,0,0.1,L,1.8408,FALSE
2,15,radial,0.1,0,L,2.869,TRUE
3,12,radial,0,0.1,R,2.8863,TRUE
3,13,radial,0.1,0,L,1.4223,TRUE
4,15,radial,0,0.1,R,1.7182,TRUE
4,16,radial,0.1,0,R,2.7358,FALSE
5,11,radial,0,0.1,R,1.4945,TRUE
5,12,radial,0.1,0,R,2.1351,FALSE
1,9,radial,0,0.15,L,1.402,FALSE
1,13,radial,0.15,0,L,1.1919,TRUE
2,10,radial,0,0.15,R,0.93426,TRUE
2,12,radial,0.15,0,L,0.96759,TRUE
3,4,radial,0,0.15,R,1.7348,TRUE
3,11,radial,0.15,0,L,1.3346,TRUE
4,7,radial,0,0.15,R,1.4854,TRUE
4,13,radial,0.15,0,L,1.9038,TRUE
5,8,radial,0,0.15,R,0.90103,TRUE
5,10,radial,0.15,0,L,1.0681,TRUE
1,3,radial,0.2,0,L,1.0013,TRUE
1,7,radial,0,0.2,R,1.0174,TRUE
2,1,radial,0.2,0,L,1.2012,TRUE
2,7,radial,0,0.2,R,0.95096,TRUE
3,1,radial,0.2,0,L,0.98428,TRUE
3,3,radial,0,0.2,R,0.83418,TRUE
4,2,radial,0.2,0,L,1.0177,TRUE
4,6,radial,0,0.2,L,1.4241,FALSE
5,1,radial,0.2,0,L,0.95111,TRUE
5,5,radial,0,0.2,R,1.785,TRUE
