Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.1,0,L,1.9181,TRUE
1,2,linear,0.2,0,L,0.734,TRUE
1,3,radial,0.2,0,L,0.86756,TRUE
1,4,linear,0.05,0,L,2.6024,TRUE
1,5,linear,0,0.2,R,0.93424,TRUE
1,6,radial,0,0.05,L,2.7023,FALSE
1,7,radial,0,0.2,R,1.0514,TRUE
1,8,linear,0,0.15,R,2.4855,TRUE
1,9,radial,0,0.15,R,1.1344,TRUE
1,10,linear,0,0.1,R,2.4188,TRUE
1,11,radial,0.05,0,L,2.4356,TRUE
1,12,linear,0,0.05,R,2.4022,TRUE
1,13,radial,0.15,0,L,0.78415,TRUE
1,14,linear,0.15,0,L,0.7508,TRUE
1,15,radial,0,0.1,R,1.2405,TRUE
1,16,radial,0.1,0,L,2.3854,TRUE
2,1,radial,0.2,0,L,0.66737,TRUE
2,2,linear,0.1,0,R,2.5689,FALSE
2,3,linear,0.2,0,L,0.85096,TRUE
2,4,linear,0.05,0,R,2.2853,FALSE
2,5,linear,0,0.2,R,0.78394,TRUE
2,6,radial,0,0.05,R,1.2612,TRUE
2,7,radial,0,0.2,R,1.2412,TRUE
2,8,linear,0,0.15,R,0.81743,TRUE
2,9,linear,0,0.1,R,1.0198,TRUE
2,10,radial,0,0.15,R,1.0357,TRUE
2,11,radial,0.05,0,L,3.3531,TRUE
2,12,radial,0.15,0,L,0.71731,TRUE
2,13,linear,0,0.05,R,1.0573,TRUE
2,14,radial,0,0.1,R,1.2344,TRUE
2,15,radial,0.1,0,L,2.4188,TRUE
2,16,linear,0.15,0,L,0.7843,TRUE
3,1,radial,0.2,0,L,0.56719,TRUE
3,2,radial,0,0.05,L,1.7683,FALSE
3,3,radial,0,0.2,R,0.6511,TRUE
3,4,radial,0,0.15,R,0.95091,TRUE
3,5,linear,0.1,0,L,1.2559,TRUE
3,6,linear,0.2,0,L,0.99114,TRUE
3,7,linear,0.05,0,L,2.6592,TRUE
3,8,linear,0,0.2,R,0.70507,TRUE
3,9,linear,0,0.15,R,0.91786,TRUE
3,10,radial,0.05,0,L,2.4854,TRUE
3,11,radial,0.15,0,L,0.75076,TRUE
3,12,radial,0,0.1,R,2.5188,TRUE
3,13,radial,0.1,0,L,3.5699,TRUE
3,14,linear,0,0.1,L,2.5522,FALSE
3,15,linear,0,0.05,R,1.5348,TRUE
3,16,linear,0.15,0,L,1.0841,TRUE
4,1,linear,0.1,0,L,0.90093,TRUE
4,2,radial,0.2,0,L,0.65068,TRUE
4,3,radial,0,0.05,R,1.5183,TRUE
4,4,linear,0.2,0,L,0.73398,TRUE
4,5,linear,0.05,0,L,1.2205,TRUE
4,6,radial,0,0.2,R,2.3354,TRUE
4,7,radial,0,0.15,R,2.386,TRUE
4,8,linear,0,0.2,R,1.418,TRUE
4,9,linear,0,0.15,R,0.91773,TRUE
4,10,linear,0,0.1,R,1.0185,TRUE
4,11,radial,0.05,0,R,2.5689,FALSE
4,12,linear,0,0.05,R,2.5525,TRUE
4,13,radial,0.15,0,L,1.1752,TRUE
4,14,linear,0.15,0,L,1.435,TRUE
4,15,radial,0,0.1,R,1.3847,TRUE
4,16,radial,0.1,0,L,1.001,TRUE
5,1,radial,0.2,0,L,0.7341,TRUE
5,2,linear,0.1,0,L,0.9869,TRUE
5,3,linear,0.2,0,L,0.70113,TRUE
5,4,radial,0,0.05,L,0.7508,FALSE
5,5,radial,0,0.2,R,0.75099,TRUE
5,6,linear,0.05,0,L,2.0848,TRUE
5,7,linear,0,0.2,R,0.95123,TRUE
5,8,radial,0,0.15,R,0.85089,TRUE
5,9,radial,0.05,0,L,2.3025,TRUE
5,10,radial,0.15,0,L,0.78423,TRUE
5,11,radial,0,0.1,R,2.5189,TRUE
5,12,radial,0.1,0,L,4.4203,TRUE
5,13,linear,0,0.15,R,2.202,TRUE
5,14,linear,0,0.1,R,2.9692,TRUE
5,15,linear,0,0.05,L,2.3189,FALSE
5,16,linear,0.15,0,L,0.86747,TRUE
