Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,radial,0.15,0,L,3.2529,TRUE
1,2,radial,0.1,0,R,8.0237,FALSE
1,3,radial,0,0.15,R,3.9367,TRUE
1,4,radial,0,0.2,R,2.4189,TRUE
1,5,radial,0.05,0,L,2.7049,TRUE
1,6,linear,0.2,0,R,5.8719,FALSE
1,7,linear,0,0.1,R,5.7717,TRUE
1,8,linear,0.15,0,R,2.5023,FALSE
1,9,radial,0,0.1,R,2.9189,TRUE
1,10,linear,0.05,0,L,4.02,TRUE
1,11,radial,0,0.05,R,4.704,TRUE
1,12,radial,0.2,0,L,1.7683,TRUE
1,13,linear,0,0.15,R,3.2612,TRUE
1,14,linear,0,0.2,L,3.0029,FALSE
1,15,linear,0.1,0,L,2.404,TRUE
1,16,linear,0,0.05,R,3.0694,TRUE
2,1,linear,0.2,0,L,6.6225,TRUE
2,2,radial,0.15,0,L,2.1022,TRUE
2,3,linear,0,0.1,L,4.6925,FALSE
2,4,radial,0.1,0,R,4.2545,FALSE
2,5,radial,0,0.15,R,2.6526,TRUE
2,6,linear,0.15,0,L,3.4455,TRUE
2,7,radial,0,0.2,R,1.5014,TRUE
2,8,radial,0.05,0,R,2.7359,FALSE
2,9,radial,0,0.1,L,5.8716,FALSE
2,10,linear,0.05,0,R,4.8872,FALSE
2,11,radial,0,0.05,R,2.6356,TRUE
2,12,linear,0,0.15,L,3.1426,FALSE
2,13,linear,0,0.2,R,6.3887,TRUE
2,14,linear,0.1,0,L,7.5087,TRUE
2,15,radial,0.2,0,L,1.3512,TRUE
2,16,linear,0,0.05,R,3.5365,TRUE
3,1,radial,0.15,0,L,1.5267,TRUE
3,2,radial,0.1,0,R,2.6521,FALSE
3,3,radial,0,0.15,R,2.8358,TRUE
3,4,radial,0,0.2,R,2.4073,TRUE
3,5,radial,0.05,0,R,4.2872,FALSE
3,6,radial,0,0.1,R,4.5538,TRUE
3,7,radial,0,0.05,L,4.2803,FALSE
3,8,linear,0.2,0,R,8.307,FALSE
3,9,linear,0,0.1,R,6.3052,TRUE
3,10,radial,0.2,0,L,1.5345,TRUE
3,11,linear,0.15,0,L,6.3221,TRUE
3,12,linear,0.05,0,L,8.6647,TRUE
3,13,linear,0,0.15,R,8.3903,TRUE
3,14,linear,0,0.2,R,5.7883,TRUE
3,15,linear,0.1,0,L,8.0904,TRUE
3,16,linear,0,0.05,R,5.3547,TRUE
4,1,radial,0.15,0,L,5.6883,TRUE
4,2,linear,0.2,0,L,5.0636,TRUE
4,3,radial,0.1,0,L,8.8921,TRUE
4,4,radial,0,0.15,R,5.7216,TRUE
4,5,linear,0,0.1,L,6.5243,FALSE
4,6,radial,0,0.2,R,1.2519,TRUE
4,7,radial,0.05,0, ,0,0
4,8,linear,0.15,0,R,3.8867,FALSE
4,9,radial,0,0.1,R,2.7705,TRUE
4,10,radial,0,0.05,L,3.5863,FALSE
4,11,radial,0.2,0,L,1.7683,TRUE
4,12,linear,0.05,0,L,5.2242,TRUE
4,13,linear,0,0.15,R,5.221,TRUE
4,14,linear,0,0.2,R,2.7025,TRUE
4,15,linear,0.1,0,L,3.2048,TRUE
4,16,linear,0,0.05,R,3.6198,TRUE
5,1,linear,0.2,0,L,2.3357,TRUE
5,2,radial,0.15,0,L,2.0183,TRUE
5,3,linear,0,0.1,L,4.4207,FALSE
5,4,radial,0.1,0,L,2.1859,TRUE
5,5,linear,0.15,0,L,5.4381,TRUE
5,6,radial,0,0.15,R,1.8184,TRUE
5,7,radial,0,0.2,R,2.2355,TRUE
5,8,radial,0.05,0,L,3.193,TRUE
5,9,linear,0.05,0,R,5.0877,FALSE
5,10,linear,0,0.15,R,2.8694,TRUE
5,11,linear,0,0.2,R,2.3426,TRUE
5,12,radial,0,0.1,R,3.3527,TRUE
5,13,radial,0,0.05,L,2.4747,FALSE
5,14,linear,0.1,0,L,3.6028,TRUE
5,15,radial,0.2,0,L,1.051,TRUE
5,16,linear,0,0.05,R,2.8694,TRUE
