"Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","SessionDate","ParticipantID","Coh","Run","DegPSec"
1,1,"radial",0.15,0,"L",2.2519,TRUE,2014-12-01,6,0.15,3,8
1,2,"radial",0.1,0,"L",4.1202,TRUE,2014-12-01,6,0.1,3,8
1,3,"radial",0,0.15,"R",1.1036,TRUE,2014-12-01,6,0.15,3,8
1,4,"radial",0,0.2,"R",2.2184,TRUE,2014-12-01,6,0.2,3,8
1,5,"radial",0.05,0,"L",2.469,TRUE,2014-12-01,6,0.05,3,8
1,6,"linear",0.2,0,"L",0.90674,TRUE,2014-12-01,6,0.2,3,8
1,7,"linear",0,0.1,"R",2.2186,TRUE,2014-12-01,6,0.1,3,8
1,8,"linear",0.15,0,"L",0.86724,TRUE,2014-12-01,6,0.15,3,8
1,9,"radial",0,0.1,"R",3.2527,TRUE,2014-12-01,6,0.1,3,8
1,10,"linear",0.05,0,"L",2.6909,TRUE,2014-12-01,6,0.05,3,8
1,11,"radial",0,0.05,"L",3.0861,FALSE,2014-12-01,6,0.05,3,8
1,12,"radial",0.2,0,"L",0.73423,TRUE,2014-12-01,6,0.2,3,8
1,13,"linear",0,0.15,"L",5.8218,FALSE,2014-12-01,6,0.15,3,8
1,14,"linear",0,0.2,"L",5.2415,FALSE,2014-12-01,6,0.2,3,8
1,15,"linear",0.1,0,"R",4.0259,FALSE,2014-12-01,6,0.1,3,8
1,16,"linear",0,0.05,"R",5.0545,TRUE,2014-12-01,6,0.05,3,8
2,1,"linear",0.2,0,"L",2.4715,TRUE,2014-12-01,6,0.2,3,8
2,2,"radial",0.15,0,"L",4.654,TRUE,2014-12-01,6,0.15,3,8
2,3,"linear",0,0.1,"R",2.8918,TRUE,2014-12-01,6,0.1,3,8
2,4,"radial",0.1,0,"L",5.1245,TRUE,2014-12-01,6,0.1,3,8
2,5,"radial",0,0.15,"R",2.3522,TRUE,2014-12-01,6,0.15,3,8
2,6,"linear",0.15,0,"L",2.0684,TRUE,2014-12-01,6,0.15,3,8
2,7,"radial",0,0.2,"R",2.302,TRUE,2014-12-01,6,0.2,3,8
2,8,"radial",0.05,0,"R",4.3536,FALSE,2014-12-01,6,0.05,3,8
2,9,"radial",0,0.1,"R",2.519,TRUE,2014-12-01,6,0.1,3,8
