"Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","SessionDate","ParticipantID","Coh","Run","DegPSec"
1,1,"radial",0.15,0,"R",2.1521,FALSE,2014-11-11,4,0.15,4,8
1,2,"radial",0.1,0,"R",2.5617,FALSE,2014-11-11,4,0.1,4,8
1,3,"radial",0,0.15,"R",3.5724,TRUE,2014-11-11,4,0.15,4,8
1,4,"radial",0,0.2,"R",3.5203,TRUE,2014-11-11,4,0.2,4,8
1,5,"radial",0.05,0,"R",4.4037,FALSE,2014-11-11,4,0.05,4,8
1,6,"linear",0.2,0,"L",4.4873,TRUE,2014-11-11,4,0.2,4,8
1,7,"linear",0,0.1,"L",4.0033,FALSE,2014-11-11,4,0.1,4,8
1,8,"linear",0.15,0,"L",5.2548,TRUE,2014-11-11,4,0.15,4,8
1,9,"radial",0,0.1,"R",4.5373,TRUE,2014-11-11,4,0.1,4,8
1,10,"linear",0.05,0,"L",7.9399,TRUE,2014-11-11,4,0.05,4,8
1,11,"radial",0,0.05,"R",2.7194,TRUE,2014-11-11,4,0.05,4,8
1,12,"radial",0.2,0,"L",2.2023,TRUE,2014-11-11,4,0.2,4,8
1,13,"linear",0,0.15,"R",2.6357,TRUE,2014-11-11,4,0.15,4,8
1,14,"linear",0,0.2,"R",2.569,TRUE,2014-11-11,4,0.2,4,8
1,15,"linear",0.1,0,"R",2.9193,FALSE,2014-11-11,4,0.1,4,8
1,16,"linear",0,0.05,"L",4.7872,FALSE,2014-11-11,4,0.05,4,8
2,1,"linear",0.2,0,"L",4.4706,TRUE,2014-11-11,4,0.2,4,8
2,2,"radial",0.15,0,"L",4.4707,TRUE,2014-11-11,4,0.15,4,8
2,3,"linear",0,0.1,"R",2.0354,TRUE,2014-11-11,4,0.1,4,8
2,4,"radial",0.1,0,"L",4.7204,TRUE,2014-11-11,4,0.1,4,8
2,5,"radial",0,0.15,"R",1.9855,TRUE,2014-11-11,4,0.15,4,8
2,6,"linear",0.15,0,"R",4.6875,FALSE,2014-11-11,4,0.15,4,8
2,7,"radial",0,0.2,"R",1.2015,TRUE,2014-11-11,4,0.2,4,8
2,8,"radial",0.05,0,"L",4.1367,TRUE,2014-11-11,4,0.05,4,8
2,9,"radial",0,0.1,"L",1.8182,FALSE,2014-11-11,4,0.1,4,8
2,10,"linear",0.05,0,"L",3.8888,TRUE,2014-11-11,4,0.05,4,8
2,11,"radial",0,0.05,"R",6.3898,TRUE,2014-11-11,4,0.05,4,8
2,12,"linear",0,0.15,"R",3.6368,TRUE,2014-11-11,4,0.15,4,8
2,13,"linear",0,0.2,"R",1.7016,TRUE,2014-11-11,4,0.2,4,8
2,14,"linear",0.1,0,"R",2.1215,FALSE,2014-11-11,4,0.1,4,8
2,15,"radial",0.2,0,"L",2.0348,TRUE,2014-11-11,4,0.2,4,8
2,16,"linear",0,0.05,"R",4.2538,TRUE,2014-11-11,4,0.05,4,8
3,1,"radial",0.15,0,"L",3.6032,TRUE,2014-11-11,4,0.15,4,8
3,2,"radial",0.1,0,"R",5.4048,FALSE,2014-11-11,4,0.1,4,8
3,3,"radial",0,0.15,"R",1.7351,TRUE,2014-11-11,4,0.15,4,8
3,4,"radial",0,0.2,"R",1.8523,TRUE,2014-11-11,4,0.2,4,8
3,5,"radial",0.05,0,"R",3.1432,FALSE,2014-11-11,4,0.05,4,8
3,6,"radial",0,0.1,"R",2.2186,TRUE,2014-11-11,4,0.1,4,8
3,7,"radial",0,0.05,"R",2.2687,TRUE,2014-11-11,4,0.05,4,8
3,8,"linear",0.2,0,"L",3.5055,TRUE,2014-11-11,4,0.2,4,8
3,9,"linear",0,0.1,"L",3.7535,FALSE,2014-11-11,4,0.1,4,8
3,10,"radial",0.2,0,"L",3.9199,TRUE,2014-11-11,4,0.2,4,8
3,11,"linear",0.15,0,"L",3.0572,TRUE,2014-11-11,4,0.15,4,8
3,12,"linear",0.05,0,"L",5.1711,TRUE,2014-11-11,4,0.05,4,8
3,13,"linear",0,0.15,"R",1.9686,TRUE,2014-11-11,4,0.15,4,8
3,14,"linear",0,0.2,"R",1.8516,TRUE,2014-11-11,4,0.2,4,8
3,15,"linear",0.1,0,"L",3.9866,TRUE,2014-11-11,4,0.1,4,8
3,16,"linear",0,0.05,"R",5.5218,TRUE,2014-11-11,4,0.05,4,8
4,1,"radial",0.15,0,"L",1.785,TRUE,2014-11-11,4,0.15,4,8
4,2,"linear",0.2,0,"L",3.1026,TRUE,2014-11-11,4,0.2,4,8
4,3,"radial",0.1,0,"L",5.4548,TRUE,2014-11-11,4,0.1,4,8
4,4,"radial",0,0.15,"R",2.035,TRUE,2014-11-11,4,0.15,4,8
4,5,"linear",0,0.1,"L",2.8357,FALSE,2014-11-11,4,0.1,4,8
4,6,"radial",0,0.2,"R",1.1032,TRUE,2014-11-11,4,0.2,4,8
4,7,"radial",0.05,0,"R",3.6035,FALSE,2014-11-11,4,0.05,4,8
4,8,"linear",0.15,0,"L",2.9355,TRUE,2014-11-11,4,0.15,4,8
4,9,"radial",0,0.1,"R",4.3706,TRUE,2014-11-11,4,0.1,4,8
4,10,"radial",0,0.05,"R",2.9524,TRUE,2014-11-11,4,0.05,4,8
4,11,"radial",0.2,0,"L",1.7348,TRUE,2014-11-11,4,0.2,4,8
4,12,"linear",0.05,0,"L",4.7543,TRUE,2014-11-11,4,0.05,4,8
4,13,"linear",0,0.15,"L",4.0441,FALSE,2014-11-11,4,0.15,4,8
4,14,"linear",0,0.2,"R",3.2363,TRUE,2014-11-11,4,0.2,4,8
4,15,"linear",0.1,0,"R",1.9517,FALSE,2014-11-11,4,0.1,4,8
4,16,"linear",0,0.05,"R",2.0685,TRUE,2014-11-11,4,0.05,4,8
5,1,"linear",0.2,0,"L",1.8016,TRUE,2014-11-11,4,0.2,4,8
5,2,"radial",0.15,0,"L",3.42,TRUE,2014-11-11,4,0.15,4,8
5,3,"linear",0,0.1,"R",4.5539,TRUE,2014-11-11,4,0.1,4,8
5,4,"radial",0.1,0,"R",4.3706,FALSE,2014-11-11,4,0.1,4,8
5,5,"linear",0.15,0,"L",3.8601,TRUE,2014-11-11,4,0.15,4,8
5,6,"radial",0,0.15,"R",3.0919,TRUE,2014-11-11,4,0.15,4,8
5,7,"radial",0,0.2,"R",2.8538,TRUE,2014-11-11,4,0.2,4,8
5,8,"radial",0.05,0,"L",5.8883,TRUE,2014-11-11,4,0.05,4,8
