"Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","SessionDate","ParticipantID","Coh","Run","DegPSec"
1,1,"linear",0.1,0,"L",4.3371,TRUE,2014-11-11,4,0.1,2,2
1,2,"linear",0.2,0,"L",2.5022,TRUE,2014-11-11,4,0.2,2,2
1,3,"radial",0.2,0,"L",3.6901,TRUE,2014-11-11,4,0.2,2,2
1,4,"linear",0.05,0,"L",5.2602,TRUE,2014-11-11,4,0.05,2,2
1,5,"linear",0,0.2,"R",2.3858,TRUE,2014-11-11,4,0.2,2,2
1,6,"radial",0,0.05,"R",2.7024,TRUE,2014-11-11,4,0.05,2,2
1,7,"radial",0,0.2,"R",0.93427,TRUE,2014-11-11,4,0.2,2,2
1,8,"linear",0,0.15,"R",2.4858,TRUE,2014-11-11,4,0.15,2,2
1,9,"radial",0,0.15,"R",2.4196,TRUE,2014-11-11,4,0.15,2,2
1,10,"linear",0,0.1,"R",2.2018,TRUE,2014-11-11,4,0.1,2,2
1,11,"radial",0.05,0,"R",2.8109,FALSE,2014-11-11,4,0.05,2,2
1,12,"linear",0,0.05,"L",3.3531,FALSE,2014-11-11,4,0.05,2,2
1,13,"radial",0.15,0,"L",2.519,TRUE,2014-11-11,4,0.15,2,2
1,14,"linear",0.15,0,"L",1.468,TRUE,2014-11-11,4,0.15,2,2
1,15,"radial",0,0.1,"R",4.2553,TRUE,2014-11-11,4,0.1,2,2
1,16,"radial",0.1,0,"R",2.5524,FALSE,2014-11-11,4,0.1,2,2
2,1,"radial",0.2,0,"L",0.98435,TRUE,2014-11-11,4,0.2,2,2
2,2,"linear",0.1,0,"L",7.1778,TRUE,2014-11-11,4,0.1,2,2
2,3,"linear",0.2,0,"L",2.3023,TRUE,2014-11-11,4,0.2,2,2
2,4,"linear",0.05,0,"R",5.2379,FALSE,2014-11-11,4,0.05,2,2
2,5,"linear",0,0.2,"R",1.8183,TRUE,2014-11-11,4,0.2,2,2
2,6,"radial",0,0.05,"R",2.9523,TRUE,2014-11-11,4,0.05,2,2
2,7,"radial",0,0.2,"R",1.2545,TRUE,2014-11-11,4,0.2,2,2
2,8,"linear",0,0.15,"R",1.4349,TRUE,2014-11-11,4,0.15,2,2
