Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,linear,0.1,0,L,4.3371,TRUE
1,2,linear,0.2,0,L,2.5022,TRUE
1,3,radial,0.2,0,L,3.6901,TRUE
1,4,linear,0.05,0,L,5.2602,TRUE
1,5,linear,0,0.2,R,2.3858,TRUE
1,6,radial,0,0.05,R,2.7024,TRUE
1,7,radial,0,0.2,R,0.93427,TRUE
1,8,linear,0,0.15,R,2.4858,TRUE
1,9,radial,0,0.15,R,2.4196,TRUE
1,10,linear,0,0.1,R,2.2018,TRUE
1,11,radial,0.05,0,R,2.8109,FALSE
1,12,linear,0,0.05,L,3.3531,FALSE
1,13,radial,0.15,0,L,2.519,TRUE
1,14,linear,0.15,0,L,1.468,TRUE
1,15,radial,0,0.1,R,4.2553,TRUE
1,16,radial,0.1,0,R,2.5524,FALSE
2,1,radial,0.2,0,L,0.98435,TRUE
2,2,linear,0.1,0,L,7.1778,TRUE
2,3,linear,0.2,0,L,2.3023,TRUE
2,4,linear,0.05,0,R,5.2379,FALSE
2,5,linear,0,0.2,R,1.8183,TRUE
2,6,radial,0,0.05,R,2.9523,TRUE
2,7,radial,0,0.2,R,1.2545,TRUE
2,8,linear,0,0.15,R,1.4349,TRUE
2,9,linear,0,0.1,R,2.0185,TRUE
2,10,radial,0,0.15,R,2.2526,TRUE
2,11,radial,0.05,0,R,4.5058,FALSE
2,12,radial,0.15,0,L,5.3579,TRUE
2,13,linear,0,0.05,R,5.4543,TRUE
2,14,radial,0,0.1,R,2.0242,TRUE
2,15,radial,0.1,0,R,4.2037,FALSE
2,16,linear,0.15,0,R,4.1869,FALSE
3,1,radial,0.2,0,L,5.2213,TRUE
3,2,radial,0,0.05,R,5.4214,TRUE
3,3,radial,0,0.2,R,0.91785,TRUE
3,4,radial,0,0.15,R,2.1685,TRUE
3,5,linear,0.1,0,L,3.3195,TRUE
3,6,linear,0.2,0,L,2.569,TRUE
3,7,linear,0.05,0,L,6.3723,TRUE
3,8,linear,0,0.2,R,0.98436,TRUE
3,9,linear,0,0.15,R,2.4854,TRUE
3,10,radial,0.05,0,R,4.6873,FALSE
3,11,radial,0.15,0,L,4.3062,TRUE
3,12,radial,0,0.1,R,3.5697,TRUE
3,13,radial,0.1,0,L,3.0608,TRUE
3,14,linear,0,0.1,R,2.052,TRUE
3,15,linear,0,0.05,R,4.4042,TRUE
3,16,linear,0.15,0,L,2.5189,TRUE
4,1,linear,0.1,0,L,2.7027,TRUE
4,2,radial,0.2,0,L,2.5023,TRUE
4,3,radial,0,0.05,R,2.8526,TRUE
4,4,linear,0.2,0,L,2.4021,TRUE
4,5,linear,0.05,0,L,5.0878,TRUE
4,6,radial,0,0.2,R,0.93437,TRUE
4,7,radial,0,0.15,R,0.86768,TRUE
4,8,linear,0,0.2,R,1.1221,TRUE
4,9,linear,0,0.15,R,2.3022,TRUE
4,10,linear,0,0.1,R,1.8017,TRUE
4,11,radial,0.05,0,R,2.7724,FALSE
4,12,linear,0,0.05,R,3.0191,TRUE
4,13,radial,0.15,0,L,2.0684,TRUE
4,14,linear,0.15,0,L,2.2241,TRUE
4,15,radial,0,0.1,R,2.6185,TRUE
4,16,radial,0.1,0,R,2.7023,FALSE
5,1,radial,0.2,0,L,1.1177,TRUE
5,2,linear,0.1,0,L,2.2352,TRUE
5,3,linear,0.2,0,L,1.0511,TRUE
5,4,radial,0,0.05,L,3.7698,FALSE
5,5,radial,0,0.2,R,0.90138,TRUE
5,6,linear,0.05,0,R,3.7067,FALSE
5,7,linear,0,0.2,R,3.2863,TRUE
5,8,radial,0,0.15,R,1.4179,TRUE
5,9,radial,0.05,0,L,4.926,TRUE
5,10,radial,0.15,0,L,3.5201,TRUE
5,11,radial,0,0.1,R,1.952,TRUE
5,12,radial,0.1,0,R,3.8406,FALSE
5,13,linear,0,0.15,R,1.1616,TRUE
5,14,linear,0,0.1,R,1.2196,TRUE
5,15,linear,0,0.05,R,5.4884,TRUE
5,16,linear,0.15,0,L,2.1183,TRUE
