Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc
1,1,radial,0.15,0,L,2.2684,TRUE
1,2,radial,0.1,0,L,1.9686,TRUE
1,3,radial,0,0.15,R,3.154,TRUE
1,4,radial,0,0.2,R,1.4954,TRUE
1,5,radial,0.05,0,R,3.0195,FALSE
1,6,linear,0.2,0,L,2.5523,TRUE
1,7,linear,0,0.1,L,1.7851,FALSE
1,8,linear,0.15,0,L,5.2049,TRUE
1,9,radial,0,0.1,R,2.1351,TRUE
1,10,linear,0.05,0,L,4.8374,TRUE
1,11,radial,0,0.05,L,3.8698,FALSE
1,12,radial,0.2,0,L,5.0208,TRUE
1,13,linear,0,0.15,L,4.8245,FALSE
1,14,linear,0,0.2,R,1.8519,TRUE
1,15,linear,0.1,0,R,3.6534,FALSE
1,16,linear,0,0.05,L,5.5217,FALSE
2,1,linear,0.2,0,R,3.6864,FALSE
2,2,radial,0.15,0,L,4.6207,TRUE
2,3,linear,0,0.1,L,4.8433,FALSE
2,4,radial,0.1,0,L,1.5849,TRUE
2,5,radial,0,0.15,R,5.488,TRUE
2,6,linear,0.15,0,L,4.7377,TRUE
2,7,radial,0,0.2,R,1.0343,TRUE
2,8,radial,0.05,0,R,1.7348,FALSE
2,9,radial,0,0.1,R,1.4735,TRUE
2,10,linear,0.05,0,L,3.4867,TRUE
2,11,radial,0,0.05,L,3.5201,FALSE
2,12,linear,0,0.15,R,2.0357,TRUE
2,13,linear,0,0.2,R,1.8516,TRUE
2,14,linear,0.1,0,L,6.8892,TRUE
2,15,radial,0.2,0,L,4.3704,TRUE
2,16,linear,0,0.05,R,3.0528,TRUE
3,1,radial,0.15,0,R,3.8037,FALSE
3,2,radial,0.1,0,L,3.8032,TRUE
3,3,radial,0,0.15,L,5.3045,FALSE
3,4,radial,0,0.2,R,2.8861,TRUE
3,5,radial,0.05,0,R,6.5248,FALSE
3,6,radial,0,0.1,R,4.0236,TRUE
3,7,radial,0,0.05,R,7.0562,TRUE
3,8,linear,0.2,0,L,2.6857,TRUE
3,9,linear,0,0.1,L,4.7538,FALSE
3,10,radial,0.2,0,L,3.7032,TRUE
3,11,linear,0.15,0,L,6.5956,TRUE
3,12,linear,0.05,0,L,3.9198,TRUE
3,13,linear,0,0.15,L,3.9929,FALSE
3,14,linear,0,0.2,R,3.3361,TRUE
3,15,linear,0.1,0,R,3.2099,FALSE
3,16,linear,0,0.05,L,3.4528,FALSE
4,1,radial,0.15,0,R,4.4205,FALSE
4,2,linear,0.2,0,L,5.3879,TRUE
4,3,radial,0.1,0,R,5.7884,FALSE
4,4,radial,0,0.15,R,4.7538,TRUE
4,5,linear,0,0.1,R,4.8878,TRUE
4,6,radial,0,0.2,R,1.9854,TRUE
4,7,radial,0.05,0,L,3.1692,TRUE
4,8,linear,0.15,0,L,4.571,TRUE
4,9,radial,0,0.1,L,5.5418,FALSE
4,10,radial,0,0.05,R,4.4383,TRUE
4,11,radial,0.2,0,L,5.6045,TRUE
4,12,linear,0.05,0,R,3.2086,FALSE
4,13,linear,0,0.15,R,4.754,TRUE
4,14,linear,0,0.2,L,6.6889,FALSE
4,15,linear,0.1,0,L,3.5867,TRUE
4,16,linear,0,0.05,L,3.67,FALSE
5,1,linear,0.2,0,R,5.5082,FALSE
5,2,radial,0.15,0,R,6.6223,FALSE
5,3,linear,0,0.1,R,4.5383,TRUE
5,4,radial,0.1,0,R,2.185,FALSE
5,5,linear,0.15,0,L,1.9352,TRUE
5,6,radial,0,0.15,L,2.2019,FALSE
5,7,radial,0,0.2,R,1.7685,TRUE
5,8,radial,0.05,0,L,5.9047,TRUE
5,9,linear,0.05,0,L,3.6702,TRUE
5,10,linear,0,0.15,R,1.0177,TRUE
5,11,linear,0,0.2,R,1.9853,TRUE
5,12,radial,0,0.1,R,2.5359,TRUE
5,13,radial,0,0.05,L,4.4874,FALSE
5,14,linear,0.1,0,R,1.2014,FALSE
5,15,radial,0.2,0,L,2.1351,TRUE
5,16,linear,0,0.05,L,1.7681,FALSE
