"Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","SessionDate","ParticipantID","Coh","Run","DegPSec"
1,1,"radial",0.15,0,"L",1.6183,TRUE,2014-12-01,5,0.15,3,8
1,2,"radial",0.1,0,"R",4.2874,FALSE,2014-12-01,5,0.1,3,8
1,3,"radial",0,0.15,"R",1.2013,TRUE,2014-12-01,5,0.15,3,8
1,4,"radial",0,0.2,"R",1.7016,TRUE,2014-12-01,5,0.2,3,8
1,5,"radial",0.05,0,"R",3.0257,FALSE,2014-12-01,5,0.05,3,8
1,6,"linear",0.2,0,"L",1.3346,TRUE,2014-12-01,5,0.2,3,8
1,7,"linear",0,0.1,"R",1.2515,TRUE,2014-12-01,5,0.1,3,8
1,8,"linear",0.15,0,"L",1.0177,TRUE,2014-12-01,5,0.15,3,8
1,9,"radial",0,0.1,"R",1.2366,TRUE,2014-12-01,5,0.1,3,8
1,10,"linear",0.05,0,"L",2.4357,TRUE,2014-12-01,5,0.05,3,8
1,11,"radial",0,0.05,"R",2.6859,TRUE,2014-12-01,5,0.05,3,8
1,12,"radial",0.2,0,"L",1.0346,TRUE,2014-12-01,5,0.2,3,8
1,13,"linear",0,0.15,"R",2.4522,TRUE,2014-12-01,5,0.15,3,8
1,14,"linear",0,0.2,"R",2.1085,TRUE,2014-12-01,5,0.2,3,8
1,15,"linear",0.1,0,"L",2.2188,TRUE,2014-12-01,5,0.1,3,8
1,16,"linear",0,0.05,"R",4.3205,TRUE,2014-12-01,5,0.05,3,8
2,1,"linear",0.2,0,"L",1.7521,TRUE,2014-12-01,5,0.2,3,8
2,2,"radial",0.15,0,"L",2.1052,TRUE,2014-12-01,5,0.15,3,8
2,3,"linear",0,0.1,"R",2.3356,TRUE,2014-12-01,5,0.1,3,8
2,4,"radial",0.1,0,"L",1.0179,TRUE,2014-12-01,5,0.1,3,8
2,5,"radial",0,0.15,"R",2.7863,TRUE,2014-12-01,5,0.15,3,8
2,6,"linear",0.15,0,"R",2.6858,FALSE,2014-12-01,5,0.15,3,8
2,7,"radial",0,0.2,"R",0.86785,TRUE,2014-12-01,5,0.2,3,8
2,8,"radial",0.05,0,"L",2.5688,TRUE,2014-12-01,5,0.05,3,8
2,9,"radial",0,0.1,"R",2.519,TRUE,2014-12-01,5,0.1,3,8
